question,option1,option2,option3,option4,correctAnswer,explanation,difficulty,practiceArea
Section 66-A of Information Technology Act was held unconstitutional in the case of,Justice K. S. Puttaswamy Vs Union of India,MP Sharma Vs Satish Chandra,Shreya Singhal Vs Union Of India,Gagan Harsh Sharma Vs The State of Maharashtra, Shreya Singhal Vs Union Of India,null,Advance,Constitutional Law
"A Teacher is not a workman within the purview of Industrial Disputes Act, held in the case of",The Workmen Vs Greaves Cotton & Co. Ltd. & Ors,John Joseph Khokar Vs Bhadange B. S. & ors,A. Sundarambal Vs Government of Goa,Dinesh Sharma and Ors. Vs State of Bihar, A. Sundarambal Vs Government of Goa,null,Advance,Labour & Industrial Law
According to Factories Act,"""child"" means a person who has not completed his fifteenth year of age;","""child"" means a person who has not completed his fourteenth year of age","""child"" means a person who has not completed his eighteenth year of age","""child"" means a person who has not completed his sixteenth year of age"," ""child"" means a person who has not completed his fifteenth year of age;",null,Basic,Labour & Industrial Law
This UNCITRAL Model Law and Rules do not become part of the Alternative Dispute Redressal Including Arbitration Actso as to become an aid to construe the provisions of the Act. - held in the case of,"Union of India Vs East Coast Boat Builders and Engineers Ltd.,",Union of India Vs M.C. Mehta,Tata Press Ltd Vs Union of India,Union of India Vs Indian Change Chrome Ltd," Union of India Vs East Coast Boat Builders and Engineers Ltd.,",null,Advance,Alternative Dispute Redressal including Arbitration Act
"According to Section 7(4) of the Arbitration and Conciliation Act, an arbitration agreement is in writing if it is contained in-",a document signed by the parties;,"an exchange of letters, telex, telegrams or other means of telecommunication which provide a record of the agreement;",an exchange of statements of claim and defence in which the existence of the agreement is alleged by one party and not denied by the other.,All of the above, All of the above,null,Intermediate,Alternative Dispute Redressal including Arbitration Act
Waiver of right to object deviance from arbitration agreement is mentioned under- ------- of the Arbitration and Conciliation Act,Section 7,Section 4,Section 20,Section 22, Section 4,null,Basic,Alternative Dispute Redressal including Arbitration Act
"A intentionally and falsely leads B to believe that certain land belongs to A, and thereby induces B to buy and pay for it. The land afterwards becomes the property of A, and A seeks to set aside the sale on the ground that, at the time of the sale, he had no title. He will not be allowed to prove his want of title. - Which Section of the Evidence Act is applicable?",Section 92,Section 124,Section 115,Section 101, Section 115,null,Intermediate,Evidence Act 
The Alternative Dispute Redressal Including Arbitration Act1996 repeals,"The Arbitration Act, 1940,","The Arbitration (Protocol and Convention) Act, 1937","the Foreign Awards (Recognition and Enforcement) Act, 1961.",All of the above, All of the above,null,Basic,Alternative Dispute Redressal including Arbitration Act
"Section 265A to 265L, Chapter XXIA of the Criminal Procedure Code deals with the concept of",Unlawful Assembly,Arrest without warrant,search and seizures,Plea bargaining, Plea bargaining,null,Basic,Cr. P. C. (Criminal Procedure Code)
Security for good behaviour from habitual offenders is dealt under,Section 109 of Cr.P.C.,Section 110 of Cr.P.C,Section 111 of Cr.P.C.,None of the above, Section 110 of Cr.P.C,null,Intermediate,Cr. P. C. (Criminal Procedure Code)
"X,Y, Z jointly promise to pay A an amount of Rs. 50,000/- Subsequently X,Y became untraceable. Can A compel Z to pay?","A can, under Section 43 para 1",A can under Section 49 para 1,"A cannot and will have to wait till X,Y become traceable",Z can be compelled only for one third," A can, under Section 43 para 1",null,Advance,Law of Contract
"Delivery of goods by one person to another for some purpose upon a contract that they shall, when the purpose is accomplished, be returned or disposed of according to the directions of the person delivering them. This process is termed as",Agency,Bailment,Guarantee,Contingency, Bailment,null,Basic,Law of Contract
"Section 14A inserted by THE SPECIFIC RELIEF (AMENDMENT) ACT, 2018, relates to",Power of the Courts to engage experts,Establishment of Special Court,Expeditious disposal of case,Specific performance with regard to contracts, Power of the Courts to engage experts,null,Basic,Specific Relief
Parliament may by law establish Administrative Tribunals under ............ of the Constitution,Article 323B,Article 323A,Article 233,Article 323, Article 323A,null,Intermediate,Constitutional Law
The Bar Council of India has to lay down the standards of professional conduct and etiquette for the Advocates under,"Section 3 of the Advocate Act, 1961","Section 7 (1) (b) of the Advocate Act, 1961","Section 17 of the Advocate Act, 1961","Section 18 of the Advocate Act, 1961"," Section 7  (b) of the Advocate Act, 1961",null,Basic,Professional Ethics & Cases of Professional Misconduct
According to Section 49 of the Advocate Act of 1961 the bar Council of India has power to make rules,qualifications for membership of a Bar Council and the disqualifications for such membership,the class or category of persons entitled to be enrolled as advocates,the standards of legal education to be observed by universities in India and the inspection of universities for that purpose.,All of the above, All of the above,null,Basic,Professional Ethics & Cases of Professional Misconduct
"Requisites of a valid adoption: no adoption shall be valid unless- (i) the person adopting has the capacity, and also the right, to take in adoption; (ii) the person giving in adoption has the capacity to do so; (iii) the person adopted is capable of being taken in adoption; and (iv) the adoption is made in compliance with the other conditions mentioned in this Chapter. - mentioned under",Section 6 of Hindu Adoptions and Maintenance Act,Section 8 of Hindu Adoptions and Maintenance Act,Section 12 of Hindu Adoptions and Maintenance Act,Section 10 of Hindu Adoptions and Maintenance Act, Section 6 of Hindu Adoptions and Maintenance Act,null,Basic,Family Law
"According to the Muslim women (protection of right son marriage) act, 2019, any pronouncement of talaq as defined under the Act by a Muslim husband upon his wife, by words, either spoken or written or in electronic form or in any other manner whatsoever, shall be",Void,Cognizable,compoundable,All of the above, Void,null,Basic,Family Law
The Hindu Succession (Amendment) Act (HSAA) 2005 provides for women:,coparcenary rights at par with men;,inheritance rights in agricultural land from her parents at par with her brothers;,inheritance of the self-acquired agricultural land of her deceased husband,All of the above, All of the above,null,Basic,Family Law
Section 25 of the Hindu Marriage Act provides for,Custody of the Children,Permanent alimony and maintenance,Maintenance Pendente lite,Division of matrimonial property, Permanent alimony and maintenance,null,Basic,Family Law
A Hindu wife had been living with her children and all the children had been brought up by her without any assistance and help from the husband many years. The wife was entitled to separate residence and maintenance under,Section 18 (2) (f) of Hindu Adoptions and Maintenance Act,Section 18 (2) (d) of Hindu Adoptions and Maintenance Act,Section 18 (2) (a) of Hindu Adoptions and Maintenance Act,Section 18 (2) (g) of Hindu Adoptions and Maintenance Act, Section 18  (a) of Hindu Adoptions and Maintenance Act,null,Basic,Family Law
Imposition of compensatory costs in respect of false or vexatious claims or defences is dealt under,Section 33 of CPC,Section 35A of CPC,Section 30 of CPC,Section 35 of CPC, Section 35A of CPC,null,Basic,C. P. C. (Code of Civil Procedure) 
Which provision under the Code of Civil Procedure deals with substituted service of summons upon the defendant,Order 5 Rule 19A,Order 5 Rule 19,Order 5 Rule 20,Order 5 Rule 21, Order 5 Rule 20,null,Advance,C. P. C. (Code of Civil Procedure) 
"The question is, whether A owes B rupees 10,000. Which of the following statements are relevant under Evidence Act;","The facts that A asked C to lend him money,","D said to C in A's presence and hearing ""I advise you not to trust A, for he owes B 10,000 rupees,""",A went away without making any answer,All of the above, All of the above,null,Intermediate,Evidence Act 
"So much of such information, whether it amounts to a confession or not, as relates distinctly to the fact thereby discovered by the police may be proved under",Section 25 of the Evidence Act,Section 26 of the Evidence Act,Section 27 of the Evidence Act,Section 29 of the Evidence Act, Section 27 of the Evidence Act,null,Basic,Evidence Act 
"When the Court has to form an opinion upon a point of foreign law or of science, or art, or as to identity of handwriting, or finger impressions, the opinions upon that point of persons specially skilled in such foreign law, science or art, or in questions as to identity of handwriting or finger impressions are relevant facts. this is under ........ of the Evidence Act",Section 42,Section 45,Section 50,Section 55, Section 45,null,Basic,Evidence Act 
"According to Environmental Protection Act, 1986, 'environmental pollutant' means","any solid, liquid or gaseous substance present in such concentration as may be, or tend to be, helpful to environment","only gaseous substance present in such concentration as may be, or tend to be, injurious to environment","any solid, liquid or gaseous substance present in such concentration as may be, or tend to be, injurious to environment","any solid, liquid present in such concentration as may be, or tend to be, injurious to environment"," any solid, liquid or gaseous substance present in such concentration as may be, or tend to be, injurious to environment",null,Advance,Environmental Law
National Green Tribunal cannot exercise its Jurisdiction with reference to,"Wildlife (Protection) Act, 1972","Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Act, 2006","The Public Liability Insurance Act, 1991",both A & B, both A & B,null,Advance,Environmental Law
"An attempt to acquire sensitive information such as usernames, passwords, and credit card details (and sometimes, indirectly, money) by masquerading as a trustworthy entity in an electronic communication - is known as",Pharming,Smishing,Phishing,Didling, Phishing,null,Advance,Cr. P. C. (Criminal Procedure Code)
The Plea Bargaining is applicable only in respect of those offences for which punishment of imprisonment is up to a period of,7 years.,10 years,11 years,14 years, 7 years.,null,Advance,Cr. P. C. (Criminal Procedure Code)
"From a plain reading of Section 195 Cr.P.C. it is manifest that it comes into operation at the stage when the Court intends to take cognizance of an offence under Section 190(1) Cr PC.; and it has nothing to do with the statutory power of the police to investigate into an F.I.R. which discloses a cognizable offence.... In other words, the statutory power of the Police to investigate under the Code is not in any way controlled or circumscribed by Section 195 Cr.P.C."" - This was held by the Supreme Court in the case of",Nalini Vs State of Tamilnadu,Raj Singh Vs State (1998),Shamsher Singh Vs State of Punjab,State of Himachal Pradesh Vs Tara Dutta, Raj Singh Vs State (1998),null,Advance,Cr. P. C. (Criminal Procedure Code)
Indemnity contract is defined under,Section 124 of the Indian Contract Act,Section 67 of the Indian Contract Act,Section 127 of the Indian Contract Act,Section 128 of the Indian Contract Act, Section 124 of the Indian Contract Act,null,Intermediate,Law of Contract
Peek Vs. Gurney is a famous case related to,Coercion,Fraud,Mistake of fact,Mistake of law, Fraud,null,Advance,Law of Contract
"Which provision under Criminal procedure Code, 1973 deals with the procedure to be adopted by the Magistrate to record confessions and statements?",Section 162,Section 164,Section 163A,Section 165, Section 164,null,Basic,Cr. P. C. (Criminal Procedure Code)
Attachment of property of person absconding can be done under Section ........ of Cr.P.C.,83,82,85,86,83,null,Basic,Cr. P. C. (Criminal Procedure Code)
